id;click;email;gender;age;click_rate;geo;device
40;1;1;2;86;0.147127557778228;1;3
49;0;2;1;32;0.094582001428861;3;1
89;1;2;1;38;0.202300391945064;5;2
262;0;4;1;40;0.458358930001404;6;1
277;0;1;1;47;0.0840728901589876;2;1
330;1;2;1;45;0.203715080000624;2;1
366;0;4;1;70;-1;-1;-1
422;0;3;1;54;0.00112667878496006;3;2
572;0;3;1;44;0.00209640729141821;5;1
599;0;8;2;51;-1;-1;-1
612;0;3;1;43;0.174230002632112;1;1
858;1;2;2;44;0.968406760898488;2;1
984;0;4;2;62;0.0827592512502534;4;2
1007;0;4;1;42;0.000521184744063155;3;1
1088;0;3;2;34;0.299001165807367;3;3
1155;0;1;1;41;0.094582001428861;1;1
1172;0;5;1;45;0.191443087229502;4;1
1220;0;4;2;61;0.457146340239495;2;2
1243;0;2;2;62;0.0919547236113927;4;1
1268;0;2;1;55;0.128143356774586;2;1
1284;1;1;1;66;0.196832813784387;5;1
1301;1;1;1;62;0.323680627112102;1;2
1411;0;1;2;66;0.132414802000405;4;1
1493;0;2;1;59;-1;-1;-1
1529;1;1;1;73;0.113498401714633;3;2
1577;1;1;1;49;0.197634032836426;3;2
1586;1;5;1;50;0.0389455300001193;1;2
1603;0;2;2;39;0.194727650000596;3;3
1650;0;2;1;68;0.0838068367091174;1;1
1663;0;2;2;68;0.315273338096203;3;3
1684;1;1;1;73;0.749189011318084;1;2
1736;0;1;1;48;0.435575006580281;2;1
1815;0;2;1;44;0.000563339392480028;2;2
1824;1;5;1;48;0.000798064139346706;3;2
1826;0;8;1;67;0.000271681409139304;1;3
2029;0;3;2;50;0.0894694608110848;4;1
2047;1;2;2;60;0.0778910600002385;6;2
2436;1;2;1;71;0.184764840000566;1;2
2489;0;3;2;40;0.000982232786888254;4;2
2496;1;2;1;68;0.88276534666937;1;1
2502;0;4;1;55;0.120377092727641;1;3
2514;1;1;2;66;0.617935742668559;4;2
2683;0;5;2;83;0.0018686379848118;1;2
2698;0;1;1;68;0.00127690262295473;1;1
2736;1;1;1;44;0.349427949723292;2;1
2834;0;3;1;54;0.0490425192594094;5;1
2872;0;1;1;37;0.173400335952912;2;1
2982;1;1;1;31;0.183909447222785;3;2
2990;0;6;1;38;-1;-1;-1
3061;1;2;1;48;0.130549804789132;5;2
3069;0;2;2;61;0.0551728341668356;4;3
3079;0;1;1;43;0.367818894445571;6;3
3109;0;2;2;55;0.199529153699241;1;1
3168;0;1;2;42;0.214200415000656;1;1
3196;0;1;1;55;0.00059390819672313;2;2
3242;0;2;2;65;0.0854289045163906;1;3
3288;0;2;2;54;0.240754185455283;4;2
3444;0;1;1;52;-1;-1;-1
3460;0;4;2;34;0.152786310000468;1;1
3516;0;1;2;50;0.0389455300001193;2;2
3554;0;3;1;60;0.00281351425396805;6;1
3560;1;2;1;76;0.459037980268072;2;3
3595;0;1;2;43;-1;-1;-1
3617;0;1;1;44;0.171967275325202;2;4
3723;0;7;2;52;0.0015201221701842;6;2
3742;0;6;1;63;0.0778910600002385;2;1
3814;1;2;1;73;0.386209839167849;1;2
3835;0;3;1;61;0.116836590000358;1;2
3881;0;1;2;73;0.0894694608110848;2;2
3921;0;5;2;54;0.270848458637193;2;1
3937;0;3;1;51;0.0315273338096203;5;2
3971;0;3;1;58;0.0478607718073755;4;1
4140;0;2;2;55;0.167849749014598;2;1
4260;0;1;1;64;0.0551728341668356;2;2
4281;0;1;2;50;-1;-1;-1
4297;0;2;1;54;0.157102307458108;1;3
4302;0;1;2;43;-1;-1;-1
4400;0;1;1;44;-1;-1;-1
4401;0;4;1;36;0.0490425192594094;2;1
4431;1;1;2;42;0.287164630844253;1;2
4449;1;1;1;63;0.155782120000477;5;2
4465;0;3;1;44;-1;-1;-1
4490;0;1;2;67;0.0778910600002385;1;1
4545;1;2;1;81;0.00323721791735002;1;4
4612;1;4;1;66;0.157636669048102;5;2
4650;0;5;2;55;0.0993111015003041;5;1
4684;0;1;1;56;0.436189936001336;5;1
4736;0;6;1;46;0.0490425192594094;5;1
4821;0;1;1;68;0.00102152209836378;1;1
4951;0;1;2;68;-1;-1;-1
5015;1;1;1;39;0.0441382673334685;6;1
5053;0;2;2;65;0.429453411893207;5;2
5084;0;1;1;37;0.0389455300001193;2;2
5109;1;2;1;66;-1;-1;-1
5125;0;1;2;46;0.172714959130964;2;1
5221;0;1;1;66;-1;-1;-1
5235;0;3;1;25;0.000399032069673353;2;2
5254;0;5;1;43;0.000818527322406878;3;3
5374;0;8;1;42;0.0767622040582061;2;2
5440;0;4;1;50;0.171967275325202;1;1
5575;0;1;1;43;0.239082281389621;1;3
5596;0;1;1;45;0.000925291755764297;6;1
5598;1;1;1;66;0.0536816764866509;1;2
5676;0;1;2;44;0.00116082056632248;1;2
5684;0;2;2;69;0.120377092727641;2;1
5691;0;4;1;40;0.132414802000405;2;2
5771;0;3;1;44;0.0490425192594094;6;3
5803;1;3;2;43;0.452998006843492;1;2
5851;0;8;1;33;0.678222156587443;2;2
5913;0;1;1;52;0.0490425192594094;5;3
5948;0;1;1;44;0.110345668333671;5;1
6009;0;1;1;40;0.101857540000312;3;1
6032;0;1;1;44;-1;-1;-1
6057;0;1;1;28;0.204927669762532;1;1
6140;0;1;1;42;0.129185172683322;2;3
6154;0;2;2;52;0.0367818894445571;2;2
6170;0;1;2;37;0.177870629552783;1;3
6180;0;1;1;23;0.0735637788891142;2;3
6306;1;1;1;33;0.518144877392891;1;2
6349;0;3;1;44;0.196170077037638;1;2
6388;1;1;1;61;0.00029020514158062;3;4
6420;1;5;2;73;0.0630546676192407;1;1
6432;0;6;1;40;0.0913205531037279;4;3
6443;0;3;1;34;0.0519273733334923;2;1
6496;0;3;1;42;0.0322962931708306;3;3
6520;0;8;1;58;0.0817375320990157;3;1
6609;0;2;2;48;0.0601885463638207;4;3
6728;1;1;2;40;-1;-1;-1
6730;0;1;1;74;0.831441780002546;2;1
6796;0;1;2;29;0.00319225655738682;2;1
6844;0;1;1;57;0.0778910600002385;2;2
6906;0;2;1;62;0.00151212152718323;2;1
6939;0;2;1;54;0.0339525133334373;3;3
7156;0;4;1;62;0.00167213438720262;6;2
7230;1;3;2;45;0.624023779542141;4;2
7231;0;1;1;59;0.135810053333749;2;1
7233;0;2;2;54;0.000886737932607451;1;1
7304;0;1;2;54;0.0993111015003041;1;2
7367;1;2;2;70;0.110345668333671;5;1
7409;1;6;1;44;0.13938400210569;1;2
7553;0;4;1;36;0.0472910007144305;4;3
7603;0;7;2;49;0.0601885463638207;3;1
7657;1;1;1;66;0.459773618056963;5;3
7775;1;2;1;77;0.183343572000561;6;2
7854;1;1;1;60;0.0601885463638207;5;4
7861;0;1;1;64;0.0715755686488678;2;3
7911;1;4;1;34;0.277147260000849;1;1
7978;1;1;1;67;0.543240213334997;1;2
8027;1;1;1;61;-1;-1;-1
8055;0;4;1;57;0.0722262556365848;2;1
8201;0;1;1;21;0.529659208001622;2;4
8276;0;1;1;55;0.098817016418213;4;3
8294;1;1;1;19;0.567492008573166;1;4
8313;0;3;1;49;0.000923062137075708;5;1
8358;0;1;2;53;0.0845200863832375;1;2
8398;0;1;2;66;0.0827592512502534;1;1
8449;0;1;2;69;0.226074052195814;1;1
8476;0;4;1;41;0.36307284419466;1;1
8481;0;1;2;73;0.125257245135519;3;1
8491;0;2;2;59;0.169762566667186;6;2
8494;0;1;1;73;0.290224223562533;1;1
8501;0;2;2;64;0.00141878069217192;1;3
8539;1;1;1;39;0.951148577749391;1;2
8635;0;1;2;47;0.462654127471296;1;2
8800;0;1;2;34;0.567492008573166;2;1
8845;0;3;2;72;0.124625696000382;2;1
8899;0;1;2;49;0.0715755686488678;1;1
8911;0;1;1;45;0.157102307458108;1;1
8923;1;1;1;70;0.090282819545731;3;2
9063;0;3;2;52;0.225386897021967;3;3
9097;0;2;1;53;0.10883408383595;4;2
