Month,passengers
1949-01,82
1949-02,149
1949-03,132
1949-04,195
1949-05,111
1949-06,162
1949-07,107
1949-08,193
1949-09,244
1949-10,102
1949-11,200
1949-12,146
1950-01,220
1950-02,138
1950-03,119
1950-04,57
1950-05,97
1950-06,191
1950-07,189
1950-09,166
1950-10,186
1950-11,114
1950-12,138
1951-01,56
1951-02,227
1951-03,237
1951-04,105
1951-05,131
1951-06,220
1951-07,162
1951-08,165
1951-09,236
1951-10,211
1951-11,208
1951-12,180
1952-01,210
1952-02,186
1952-03,214
1952-05,121
1952-06,78
1952-07,151
1952-08,85
1952-09,156
1952-10,60
1952-11,159
1952-12,225
1953-01,164
1953-02,63
1953-03,186
1953-04,155
1953-05,77
1953-06,172
1953-07,62
1953-08,154
1953-09,95
1953-10,230
1953-11,159
1953-12,142
1954-01,86
1954-03,188
1954-04,78
1954-05,147
1954-06,180
1954-07,164
1954-08,114
1954-09,62
1954-10,74
1954-11,232
1954-12,76
1955-01,72
1955-02,137
1955-03,235
1955-04,193
1955-05,139
1955-06,160
1955-07,198
1955-08,59
1955-10,74
1955-11,59
1955-12,159
1956-01,220
1956-02,230
1956-03,232
1956-04,136
1956-05,106
1956-06,64
1956-07,165
1956-08,179
1956-09,152
1956-10,213
1956-11,171
1956-12,157
1957-01,184
1957-02,168
1957-03,58
1957-04,197
1957-05,225
1957-07,142
1957-08,190
1957-09,170
1957-10,177
1957-11,176
1957-12,64
1958-01,135
1958-02,224
1958-03,213
1958-04,78
1958-05,239
1958-06,248
1958-07,207
1958-08,184
1958-09,219
1958-10,165
1958-11,187
1958-12,204
1959-01,217
1959-03,70
1959-04,64
1959-05,199
1959-06,194
1959-07,135
1959-08,105
1959-09,201
1959-10,149
1959-11,123
1959-12,130
1960-01,225
1960-02,84
1960-03,56
1960-04,208
1960-05,181
1960-06,84
1960-07,108
1960-08,132
1960-09,56
1960-10,58
1960-12,145
1961-01,216
1961-02,224
1961-03,206
1961-04,250
1961-05,187
1961-06,143
1961-07,233
1961-08,171
1961-09,229
1961-10,186
1961-11,190
1961-12,206
1962-01,78
1962-02,208
1962-03,157
1962-04,152
1962-05,85
1962-06,149
1962-08,234
1962-09,171
1962-10,223
1962-11,229
1962-12,216
1963-01,126
1963-02,249
1963-03,136
1963-04,145
1963-05,97
1963-06,168
1963-07,97
1963-08,184
1963-09,188
1963-10,141
1963-11,75
1963-12,169
1964-01,117
1964-02,184
1964-03,139
1964-05,218
1964-06,204
1964-07,168
1964-08,83
1964-09,164
1964-10,233
1964-11,230
1964-12,134
1965-01,247
1965-02,154
1965-03,157
1965-04,195
1965-05,182
1965-06,95
1965-07,138
1965-08,114
1965-09,67
1965-10,169
1965-11,73
1965-12,129
1966-02,232
1966-03,58
1966-04,108
1966-05,119
1966-06,159
1966-07,235
1966-08,153
1966-09,211
1966-10,142
1966-11,92
1966-12,125
1967-01,168
1967-02,243
1967-03,63
1967-04,176
1967-05,162
1967-06,97
1967-07,136
1967-08,57
1967-10,247
1967-11,227
1967-12,92
1968-01,147
1968-02,192
1968-03,155
1968-04,140
1968-05,103
1968-06,88
1968-07,100
1968-08,156
1968-09,250
1968-10,164
1968-11,87
1968-12,222
1969-01,167
1969-02,94
1969-03,160
1969-04,112
1969-06,120
1969-07,137
1969-08,73
1969-09,199
1969-10,117
1969-11,198
1969-12,69
1970-01,128
1970-02,55
1970-03,79
1970-04,89
1970-05,203
1970-06,69
1970-07,165
1970-08,243
1970-09,52
1970-10,209
1970-11,249
1970-12,115
1971-01,132
1971-03,238
1971-04,237
1971-05,239
1971-06,236
1971-07,196
1971-08,234
1971-09,161
1971-10,166
1971-11,62
1971-12,150
1972-01,143
1972-02,166
1972-03,65
1972-04,213
1972-05,194
1972-06,249
1972-07,155
1972-08,169
1972-09,212
1972-10,199
1972-12,102
1973-01,172
1973-02,205
1973-03,250
1973-04,206
1973-05,92
1973-06,208
1973-07,74
1973-08,98
1973-09,82
1973-10,211
1973-11,187
1973-12,206
1974-01,249
1974-02,130
1974-03,159
1974-04,79
1974-05,63
1974-07,113
1974-08,160
1974-09,100
1974-10,174
1974-11,104
1974-12,185
1975-01,159
1975-02,80
